INDEX_ID,A_MAX
마라26ba88bb,0
마라26ba89aa,0
마라26ba89ab,0
마라26ba89ba,0
마라26ba89bb,48
마라26ba90aa,116
마라26ba90ab,31
마라26ba90ba,205
마라26ba90bb,129
마라26ba91aa,14
마라26ba91ab,32
마라26ba91ba,6
마라26ba91bb,2
마라26bb80ab,0
마라26bb80ba,0
마라26bb80bb,6
마라26bb81aa,168
마라26bb81ab,808
마라26bb81ba,128
마라26bb81bb,4
마라26bb82ba,7
마라26bb82bb,17
마라26bb83aa,241
마라26bb83ab,104
마라26bb83ba,0
마라26bb83bb,0
마라26bb84aa,0
마라26bb84ab,0
마라26bb84ba,1
마라26bb84bb,0
마라26bb85aa,0
마라26bb85ab,1
마라26bb85ba,0
마라26bb85bb,71
마라26bb86aa,62
마라26bb86ab,26
마라26bb86ba,0
마라26bb86bb,0
마라26bb87aa,0
마라26bb87ab,0
마라26bb87ba,0
마라26bb87bb,0
마라26bb88aa,0
마라26bb88ab,3
마라26bb88ba,0
마라26bb88bb,0
마라26bb89aa,0
마라26bb89ab,0
마라26bb89ba,52
마라26bb89bb,72
마라26bb90aa,84
마라26bb90ab,40
마라26bb90ba,24
마라26bb90bb,2
마라26bb91aa,0
마라26bb91ab,0
마라26bb91ba,0
마라26bb91bb,0
마라27aa76bb,1720
마라27aa77aa,316
마라27aa77ab,56
마라27aa77ba,625
마라27aa77bb,267
마라27aa80ba,0
마라27aa80bb,1
마라27aa81aa,14
마라27aa81ab,117
마라27aa81ba,450
마라27aa81bb,533
마라27aa82aa,1
마라27aa82ab,0
마라27aa82ba,0
마라27aa82bb,137
마라27aa83aa,468
마라27aa83ab,3
마라27aa83ba,0
마라27aa83bb,0
마라27aa84aa,0
마라27aa84ab,0
마라27aa84ba,0
마라27aa84bb,0
마라27aa85aa,0
마라27aa85ab,0
마라27aa85ba,0
마라27aa85bb,53
마라27aa86aa,13
마라27aa86ab,14
마라27aa86ba,102
마라27aa86bb,22
마라27aa87aa,5
마라27aa87ab,1
마라27aa87ba,27
마라27aa87bb,0
마라27aa88aa,0
마라27aa88ab,1
마라27aa88ba,0
마라27aa88bb,3
마라27aa89aa,0
